CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	FAMILIAS
74463380	24	CANDIDATO_REVISAR_PRINCIPAL	SANTOS DUMONT	SANTOS DUMONT (23) | JARDIM NOVA ESPERANCA (1)
74463615	5	BAIRROS_DIFERENTES	SANTOS DUMONT	SANTOS DUMONT (3) | CANDIDA DE MORAIS (1) | JARDIM NOVA ESPERANCA (1)
74463850	6	BAIRROS_DIFERENTES	JARDIM BONANZA	JARDIM BONANZA (5) | SANTOS DUMONT (1)
74464120	2	BAIRROS_DIFERENTES	JARDIM NOVO PETROPOLIS	JARDIM NOVO PETROPOLIS (1) | JARDIM PETROPOLIS (1)
74464130	4	BAIRROS_DIFERENTES	JARDIM PETROPOLIS	JARDIM PETROPOLIS (2) | JARDIM NOVO PETROPOLIS (2)
74464135	11	BAIRROS_DIFERENTES	JARDIM NOVO PETROPOLIS	JARDIM NOVO PETROPOLIS (9) | JARDIM PETROPOLIS (2)
74464155	4	BAIRROS_DIFERENTES	RESIDENCIAL 14 BIS EXTENSAO	RESIDENCIAL 14 BIS EXTENSAO (3) | RESIDENCIAL 14 BIS (1)
74465010	33	CANDIDATO_REVISAR_PRINCIPAL	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA (32) | JARDIM NOVA ESPERANCAA (1)
74465025	15	BAIRROS_DIFERENTES	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA (13) | CANDIDA DE MORAIS (1) | CANDIDA DE MORAES (1)
74465050	46	CANDIDATO_REVISAR_PRINCIPAL	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA (45) | NOVA ESPERANCA (1)
74465080	2	BAIRROS_DIFERENTES	PARQUE TREMENDAO	PARQUE TREMENDAO (1) | JARDIM NOVA ESPERANCA (1)
74465090	4	BAIRROS_DIFERENTES	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA (3) | PARQUE DAS FLORES (1)
